,Time,X,Y,Z
0,2618630911.0,0.0,0.01953125,0.017578125
0,2618630911.0,0.05859375,0.056640625,0.0
0,2618630911.0,-0.11328125,0.435546875,0.0
0,2618630911.0,-1.07421875,0.3984375,0.0
0,2618630911.0,-0.46484375,1.267578125,0.0
0,2618630911.0,0.970703125,1.212890625,0.0
0,2618630911.0,0.0625,2.00390625,0.0
0,2618630911.0,-1.09375,2.060546875,0.0
0,2618630911.0,-0.025390625,0.078125,0.0
0,2618630911.0,-0.25390625,0.37109375,0.0
0,3848677127.0,0.0,0.015625,0.017578125
0,3848677127.0,0.05859375,0.056640625,0.0
0,3848677127.0,-0.375,0.431640625,0.0
0,3848677127.0,0.970703125,1.212890625,0.0
0,3848677127.0,0.0625,2.00390625,0.0
0,3848677127.0,0.3828125,0.72265625,0.0
0,3848677127.0,0.345703125,1.048828125,0.0
0,3848677127.0,-0.025390625,0.078125,0.0
0,3868659318.0,0.0,0.01171875,0.017578125
0,3868659318.0,0.05859375,0.056640625,0.0
0,3868659318.0,0.970703125,1.212890625,0.0
0,3868659318.0,0.0625,2.00390625,0.0
0,3868659318.0,-1.01953125,2.09765625,0.0
0,3868659318.0,0.357421875,0.736328125,0.0
0,3888660268.0,0.0,0.01171875,0.017578125
0,3888660268.0,0.05859375,0.056640625,0.0
0,3888660268.0,0.0625,2.00390625,0.0
0,3888660268.0,-1.01953125,2.09765625,0.0
0,3888660268.0,0.4375,0.642578125,0.0
0,3888660268.0,-0.3828125,0.478515625,0.0
0,3908660031.0,0.0,0.013671875,0.017578125
0,3908660031.0,0.05859375,0.056640625,0.0
0,3908660031.0,0.0625,2.00390625,0.0
0,3908660031.0,0.072265625,2.2890625,0.0
0,3908660031.0,-0.40234375,0.462890625,0.0
0,3908660031.0,0.412109375,0.658203125,0.0
0,3908660031.0,-0.025390625,0.078125,0.0
0,3928639742.0,0.0,0.009765625,0.017578125
0,3928639742.0,0.05859375,0.056640625,0.0
0,3928639742.0,-0.40234375,0.462890625,0.0
0,3928639742.0,0.0625,2.00390625,0.0
0,3928639742.0,-1.09375,2.060546875,0.0
0,3948639710.0,0.0,0.009765625,0.017578125
0,3948639710.0,0.05859375,0.056640625,0.0
0,3948639710.0,0.0625,2.00390625,0.0
0,3948639710.0,-1.09375,2.060546875,0.0
0,3948639710.0,-1.208984375,2.27734375,0.0
0,3968640435.0,0.0,0.01171875,0.017578125
0,3968640435.0,0.05859375,0.056640625,0.0
0,3968640435.0,-0.375,0.431640625,0.0
0,3968640435.0,0.0625,2.00390625,0.0
0,3968640435.0,0.072265625,2.2890625,0.0
0,3968640435.0,-0.025390625,0.078125,0.0
0,3988623893.0,0.0,0.009765625,0.017578125
0,3988623893.0,0.05859375,0.056640625,0.0
0,3988623893.0,0.0625,2.00390625,0.0
0,3988623893.0,0.072265625,2.2890625,0.0
0,3988623893.0,-0.025390625,0.078125,0.0
0,4008640952.0,0.0,0.01171875,0.017578125
0,4008640952.0,0.05859375,0.056640625,0.0
0,4008640952.0,0.0625,2.00390625,0.0
0,4008640952.0,0.072265625,2.2890625,0.0
0,4008640952.0,-0.388671875,0.52734375,0.0
0,4008640952.0,-0.025390625,0.078125,0.0
0,348476397.0,0.0,0.015625,0.017578125
0,348476397.0,0.05859375,0.056640625,0.0
0,348476397.0,-0.349609375,0.400390625,0.0
0,348476397.0,0.970703125,1.212890625,0.0
0,348476397.0,0.0625,2.00390625,0.0
0,348476397.0,0.072265625,2.2890625,0.0
0,348476397.0,-0.025390625,0.078125,0.0
0,348476397.0,0.515625,0.1328125,0.0
0,368494511.0,0.0,0.017578125,0.017578125
0,368494511.0,0.05859375,0.056640625,0.0
0,368494511.0,-0.357421875,0.447265625,0.0
0,368494511.0,0.970703125,1.212890625,0.0
0,368494511.0,0.0625,2.00390625,0.0
0,368494511.0,0.072265625,2.2890625,0.0
0,368494511.0,-0.275390625,1.447265625,0.0
0,368494511.0,-0.025390625,0.078125,0.0
